Food,Men,Women
Total fruit,87.2,88.93
"Apples, Total",92.81,90.24
Apples as fruit,93.35,91.69
Apple juice,92.13,87.67
Bananas,93.96,94.2
Berries,90.7,87.99
Grapes,92.16,90.02
Melons,84.97,85.48
"Oranges, Total",84.16,89.35
Oranges as fruit,92.17,96.57
Orange juice,83.49,88.69
Other citrus fruit,61.9,77.85
Stone fruit,95.89,94.3
Tropical fruit,84.68,80.72
"Vegetables, Total",62.01,68.26
"Brassica, Total",66.41,75.72
Broccoli and cauliflower,69.16,78.98
Carrots,75.78,82.12
Celery,80.97,79.94
Cucumbers,53.78,69.98
Green Peas,77.97,83.78
"Leafy vegetable, Total",55.32,60.86
Lettuce,50.85,56.53
Onions,58.05,64.79
Peppers,58.56,62.26
Tomatoes,61.58,67.67
Sweet corn,79.26,82.33
Potatoes,54.83,58.18
Snap beans,78.91,75.84
Legumes dried,67.14,72.43
"Dairy, Total",82.4,84.67
"Fluid milk, Total",87.86,88.38
"Fluid milk, 1 percent fat",92.89,94.32
"Fluid milk, 2 percent fat",92.02,90.82
"Fluid milk, Skim",87.2,87.9
"Fluid Milk, Whole",82.33,83.01
Butter,74.37,76.82
Cheese,55.2,62.24
Yogurt,88.52,92.56
"Dairy, Other",69.87,72.39
"Meat, poultry, and fish, Total",60.13,63.39
"Meat, Total",62.85,66.57
Beef,59.2,63.0
Pork,69.3,73.62
"Poultry, Total",55.07,60.03
Chicken,52.35,56.26
Turkey,73.83,82.51
Finfish and shellfish,62.05,62.52
Eggs,67.14,72.64
"Grains, Total",68.24,71.59
Corn flour,79.26,75.41
Oat flour,96.09,96.93
Rice dried,68.48,77.25
Wheat flour,64.66,67.86
"Fat and oils, Total",59.43,62.37
Margarine,71.91,74.68
Salad and cooking oils,56.32,58.54
Shortening,55.16,57.04
"Oils, Other",74.04,86.26
Caloric sweeteners,70.56,74.69
"Nuts, Total",89.67,92.17
Peanuts,91.04,91.97
Tree nuts,87.25,92.46
